cohort,site,id,mouse,arm,stratum,group,Tx,weight_age,entry,body_weight,weight_z_matched,matched_quartile,standardization_weight,comparison_reuse_count,lifespan_days,dead,mean_treatment_weight_effect_g
C2004,UM,UM02282,C2004|UM02282,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,29.1,-1.5734194804072237,1,0.038461538461538464,1,995,1,-1.1769238713460823
C2004,UM,UM02289,C2004|UM02289,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,28.200001,-1.7539197882239526,1,0.038461538461538464,1,780,1,-1.1769238713460823
C2004,UM,UM02296,C2004|UM02296,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,34.900002,-0.4101935808921771,2,0.037037037037037035,1,1130,1,-1.1769238713460823
C2004,UM,UM02548,C2004|UM02548,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,32.799999,-0.83136203543052,1,0.038461538461538464,1,866,1,-1.1769238713460823
C2004,UM,UM02555,C2004|UM02555,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,45.0,1.6154228341797783,4,0.037037037037037035,1,684,1,-1.1769238713460823
C2004,UM,UM02562,C2004|UM02562,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,34.200001,-0.5505830657382914,2,0.037037037037037035,1,362,1,-1.1769238713460823
C2004,UM,UM02667,C2004|UM02667,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,33.599998,-0.6709173396552189,2,0.037037037037037035,1,890,1,-1.1769238713460823
C2004,UM,UM02674,C2004|UM02674,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,31.5,-1.0920847914129594,1,0.038461538461538464,1,783,1,-1.1769238713460823
C2004,UM,UM02681,C2004|UM02681,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,31.200001,-1.152251426981122,1,0.038461538461538464,1,814,1,-1.1769238713460823
C2004,UM,UM02835,C2004|UM02835,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,33.799999,-0.6308059150162432,2,0.037037037037037035,1,872,1,-1.1769238713460823
C2004,UM,UM02842,C2004|UM02842,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,34.099998,-0.5706392794480806,2,0.037037037037037035,1,979,1,-1.1769238713460823
C2004,UM,UM02849,C2004|UM02849,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,32.099998,-0.9717515202766343,1,0.038461538461538464,1,1193,1,-1.1769238713460823
C2004,UM,UM03045,C2004|UM03045,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,30.4,-1.3126965238686643,1,0.038461538461538464,1,932,1,-1.1769238713460823
C2004,UM,UM03052,C2004|UM03052,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,29.799999,-1.4330303966733506,1,0.038461538461538464,1,978,1,-1.1769238713460823
C2004,UM,UM03059,C2004|UM03059,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,38.099998,0.23158520220902695,3,0.038461538461538464,1,808,1,-1.1769238713460823
C2004,UM,UM03241,C2004|UM03241,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,46.200001,1.856090379233031,4,0.037037037037037035,1,406,1,-1.1769238713460823
C2004,UM,UM03248,C2004|UM03248,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,37.799999,0.17141856664086436,3,0.038461538461538464,1,676,1,-1.1769238713460823
C2004,UM,UM03255,C2004|UM03255,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,39.5,0.5123641719012555,3,0.038461538461538464,1,968,1,-1.1769238713460823
C2004,UM,UM03458,C2004|UM03458,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,33.900002,-0.610749701306454,2,0.037037037037037035,1,871,1,-1.1769238713460823
C2004,UM,UM03465,C2004|UM03465,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,37.299999,0.07114050643372592,3,0.038461538461538464,1,732,1,-1.1769238713460823
C2004,UM,UM03472,C2004|UM03472,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,30.6,-1.2725852997858083,1,0.038461538461538464,1,1136,1,-1.1769238713460823
C2004,UM,UM03570,C2004|UM03570,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,33.5,-0.6909725505844057,2,0.037037037037037035,1,870,1,-1.1769238713460823
C2004,UM,UM03577,C2004|UM03577,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,41.099998,0.8332535634518575,4,0.037037037037037035,1,390,1,-1.1769238713460823
C2004,UM,UM03584,C2004|UM03584,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,35.900002,-0.20963746047790024,2,0.037037037037037035,1,506,1,-1.1769238713460823
C2004,UM,UM03591,C2004|UM03591,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,28.1,-1.7739756008215006,1,0.038461538461538464,1,736,1,-1.1769238713460823
C2004,UM,UM03598,C2004|UM03598,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,30.9,-1.2124184636615258,1,0.038461538461538464,1,681,1,-1.1769238713460823
C2004,UM,UM03605,C2004|UM03605,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,30.700001,-1.2525294871882604,1,0.038461538461538464,1,1020,1,-1.1769238713460823
C2004,UM,UM03738,C2004|UM03738,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,29.9,-1.4129745840758028,1,0.038461538461538464,1,957,1,-1.1769238713460823
C2004,UM,UM03745,C2004|UM03745,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,39.5,0.5123641719012555,3,0.038461538461538464,1,727,1,-1.1769238713460823
C2004,UM,UM03752,C2004|UM03752,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,36.099998,-0.1695270386195268,2,0.037037037037037035,1,810,1,-1.1769238713460823
C2004,UM,UM04046,C2004|UM04046,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,37.5,0.11125193107270177,3,0.038461538461538464,1,657,1,-1.1769238713460823
C2004,UM,UM04053,C2004|UM04053,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,40.700001,0.7530317169545082,4,0.037037037037037035,1,995,1,-1.1769238713460823
C2004,UM,UM04060,C2004|UM04060,C2004|NDGA,C2004|NDGA|UM,Control,0,6,182.625,43.299999,1.274477228919387,4,0.037037037037037035,1,812,1,-1.1769238713460823
