cohort,group,site,sex,ctl_bw6,ctl_median,n_ctl,n_tx,log_hr,se,hr,control_km_median,treated_km_median,median_gain_pct,control_cluster,sex_specific_control
C2009,Rapa_lo,TJL,f,32.71666666666667,785.0,96,48,-1.1839843875627796,0.2669513141896356,0.306056856858434,908.0,1058.0,16.519823788546255,C2009|TJL,C2009|TJL|f
C2009,Rapa_lo,UM,m,35.86105234736842,907.0,99,51,-0.4115726139503448,0.1824511380666918,0.6626074047063638,925.0,974.0,5.297297297297297,C2009|UM,C2009|UM|m
C2009,Rapa_lo,UM,f,28.29325835955056,886.5,92,44,-0.8179564283479104,0.1987431023141467,0.4413326284386719,896.0,1065.0,18.861607142857142,C2009|UM,C2009|UM|f
C2009,Rapa_lo,UT,m,44.64040406060607,704.0,99,51,-0.1280781309624337,0.1791836340972128,0.87978463803877,704.0,677.0,-3.835227272727273,C2009|UT,C2009|UT|m
C2009,Rapa_lo,UT,f,34.88804328260869,865.5,92,44,-0.7041836196852743,0.1979712185823995,0.4945121194702732,864.0,970.0,12.268518518518519,C2009|UT,C2009|UT|f
C2009,Rapa_mid,TJL,m,43.464646464646464,807.0,102,54,-0.0695963556330877,0.1733753209768525,0.9327702513862094,810.0,728.0,-10.123456790123457,C2009|TJL,C2009|TJL|m
C2009,Rapa_mid,TJL,f,32.71666666666667,785.0,96,48,-1.0454731729596811,0.2678719012081625,0.3515254476833937,908.0,1002.0,10.352422907488986,C2009|TJL,C2009|TJL|f
C2009,Rapa_mid,UM,m,35.86105234736842,907.0,99,51,-0.1984860201988211,0.1866827061313624,0.8199712336950992,925.0,1019.0,10.162162162162161,C2009|UM,C2009|UM|m
C2009,Rapa_mid,UM,f,28.29325835955056,886.5,92,44,-1.2216625736803817,0.21783957388053,0.2947397328232151,896.0,1093.0,21.986607142857142,C2009|UM,C2009|UM|f
C2009,Rapa_mid,UT,m,44.64040406060607,704.0,99,51,-0.6634407985508601,0.1916018120533553,0.5150760091888548,704.0,855.0,21.448863636363637,C2009|UT,C2009|UT|m
C2009,Rapa_mid,UT,f,34.88804328260869,865.5,92,44,-1.2372283733071687,0.2057907514704592,0.2901873955019992,864.0,1101.0,27.430555555555557,C2009|UT,C2009|UT|f
C2010,FO_hi,TJL,m,43.255102040816325,671.5,102,54,-0.1254223029199325,0.1774979310649063,0.8821243002468676,688.0,789.0,14.680232558139535,C2010|TJL,C2010|TJL|m
C2010,FO_hi,TJL,f,32.705263157894734,853.5,96,48,0.017305456833471,0.1794885279244625,1.0174560637712111,869.0,903.0,3.9125431530494823,C2010|TJL,C2010|TJL|f
C2010,FO_hi,UM,m,33.75757575757576,883.0,99,51,0.5438441021835202,0.1885154703046957,1.722616062993604,927.0,758.0,-18.230852211434737,C2010|UM,C2010|UM|m
C2010,FO_hi,UM,f,25.860439560439563,916.0,92,44,0.0605347635572261,0.1874200366437751,1.062404529889044,942.0,947.0,0.5307855626326964,C2010|UM,C2010|UM|f
C2010,FO_hi,UT,m,41.24444444444445,732.0,99,51,0.0421225546353826,0.1766368333783027,1.0430222981356183,734.0,703.0,-4.223433242506812,C2010|UT,C2010|UT|m
C2010,FO_hi,UT,f,31.032608695652176,895.0,92,44,0.3124471511878536,0.1893151889108026,1.3667657073209625,917.0,902.0,-1.6357688113413305,C2010|UT,C2010|UT|f
C2010,FO_lo,TJL,m,43.255102040816325,671.5,102,54,-0.0436110369608538,0.1795693530756959,0.9573262495919116,688.0,747.0,8.575581395348838,C2010|TJL,C2010|TJL|m
C2010,FO_lo,TJL,f,32.705263157894734,853.5,96,48,0.126709268305841,0.1817222810585087,1.135086964049195,869.0,852.0,-1.9562715765247412,C2010|TJL,C2010|TJL|f
C2010,FO_lo,UM,m,33.75757575757576,883.0,99,51,0.0415817918896859,0.1878154861158518,1.042458423008927,927.0,953.0,2.8047464940668823,C2010|UM,C2010|UM|m
C2010,FO_lo,UM,f,25.860439560439563,916.0,92,44,0.3083463589196436,0.1933394343764425,1.361172361488968,942.0,873.0,-7.32484076433121,C2010|UM,C2010|UM|f
C2010,FO_lo,UT,m,41.24444444444445,732.0,99,51,-0.3518146302468967,0.1836286927157679,0.7034105009226973,734.0,804.0,9.536784741144414,C2010|UT,C2010|UT|m
C2010,FO_lo,UT,f,31.032608695652176,895.0,92,44,0.1068737948707087,0.1888977795080707,1.1127938053307342,917.0,839.0,-8.505997818974919,C2010|UT,C2010|UT|f
C2010,ND_hi,TJL,m,43.255102040816325,671.5,102,54,-0.3239904110371445,0.1869879024833927,0.7232571776328027,688.0,846.0,22.96511627906977,C2010|TJL,C2010|TJL|m
