cohort,group,init,weight_age,post_dosing,n_tx,diff_g,pct,p
C2006,Sim_hi,10.0,18,True,182,0.24463194370232336,0.5688205527450844,0.8166411684713659
C2006,Sim_lo,10.0,6,False,183,0.18743871810582782,0.5668753538250578,0.7965918040921679
C2006,Sim_lo,10.0,12,True,205,0.12655503151028447,0.31945772136981876,0.9095424020155599
C2006,Sim_lo,10.0,18,True,186,1.4317814895837744,3.3291921160804967,0.051377626737013876
C2007,Cur,4.0,6,True,183,-0.7661489377336754,-2.213895267182956,0.5118192244222295
C2007,Cur,4.0,12,True,173,-2.606792188888239,-5.91318003842033,0.0005452628005791493
C2007,Cur,4.0,18,True,164,-2.5820222608230767,-5.62966387156356,0.002003135080866909
C2007,Cur,4.0,24,True,132,-1.388721082644632,-3.2569511494459555,0.09490396130655845
C2007,GTE,4.0,6,True,178,0.10697951021465499,0.30913236276274125,0.3811529369097093
C2007,GTE,4.0,12,True,176,-1.1199325278117622,-2.5404260055952066,0.20875865837727522
C2007,GTE,4.0,18,True,161,0.5986165332392581,1.3051823453386544,0.41899460428804064
C2007,GTE,4.0,24,True,142,2.469324206017921,5.791276888969665,0.015466228349186994
C2007,MCTO,4.0,6,True,189,0.15059877123363985,0.43517636122289083,0.3959467871540415
C2007,MCTO,4.0,12,True,182,-1.871856626799732,-4.246071201056347,0.02813644573582815
C2007,MCTO,4.0,18,True,165,-3.747217703089663,-8.170175928399075,5.656771566168225e-06
C2007,MCTO,4.0,24,True,137,-1.934167556536172,-4.536180321022443,0.021353373857733886
C2007,OAA,4.0,6,True,185,0.23212617237454952,0.6707612699033076,0.3356530942123635
C2007,OAA,4.0,12,True,182,-0.8709712086986565,-1.9756885827988524,0.2965635048319418
C2007,OAA,4.0,18,True,167,0.0656295940911768,0.14309425614429125,0.8368730964161338
C2007,OAA,4.0,24,True,136,0.4566124104277982,1.0708876919777168,0.6698401571018088
C2007,Res,4.0,6,True,188,-0.17006623631116105,-0.49143034354473997,0.6515656019433583
