cohort,group,site,sex,ctl_bw6,ctl_median,n_ctl,n_tx,log_hr,se,hr
C2005,Enal,TJL,m,41.30578512396694,802.5,126,60,0.1253427187349182,0.16342433381736388,1.1335368708263556
C2005,Enal,TJL,f,30.19148936170213,876.5,96,48,-0.14169623081433516,0.18911185312112255,0.8678848531227031
C2005,Enal,UM,m,36.65363631818182,860.5,126,60,-0.06720828457526727,0.16665474396849805,0.935000434885602
C2005,Enal,UM,f,26.974736884210525,884.5,96,44,-0.18375481530072776,0.18395311619704127,0.8321398067647243
C2005,Enal,UT,m,43.32934760869566,716.5,126,60,-0.3948041951390745,0.16190702016377578,0.6738119619903966
C2005,Enal,UT,f,28.646666613333334,883.5,104,52,0.23976998965109184,0.1738014480753063,1.270956783485778
C2005,Rapa,TJL,m,41.30578512396694,802.5,126,60,-0.3519560255667614,0.16559441788321738,0.703311049001107
C2005,Rapa,TJL,f,30.19148936170213,876.5,96,48,-0.8952550654782437,0.2030179548446199,0.40850339023883503
C2005,Rapa,UM,m,36.65363631818182,860.5,126,57,-0.42353350717913063,0.170757794538553,0.6547292371690554
C2005,Rapa,UM,f,26.974736884210525,884.5,96,48,-0.9197945552483504,0.19987606628837526,0.3986009231407688
C2005,Rapa,UT,m,43.32934760869566,716.5,126,60,-0.9305359254121314,0.17242915817283766,0.39434231566272016
C2005,Rapa,UT,f,28.646666613333334,883.5,104,48,-0.3662414043448529,0.17902504324889443,0.6933354068260548
C2006,Rapa,TJL,m,42.06666666666667,726.5,120,60,-0.4442256955236969,0.17647988227828926,0.6413206612896372
C2006,Rapa,TJL,f,29.661016949152543,848.0,96,48,-1.0212432732637062,0.2181213277187649,0.3601469007003944
C2006,Rapa,UM,m,34.34672885981309,846.0,111,54,-0.5452513074068172,0.1908543151380453,0.5796960831134509
C2006,Rapa,UM,f,26.037931,893.0,88,48,-0.8374549117614208,0.19735553448826418,0.43281066418853936
C2006,Res_hi,TJL,m,42.06666666666667,726.5,120,60,0.15713085206264846,0.17169433455020297,1.170148720257205
C2006,Res_hi,TJL,f,29.661016949152543,848.0,96,48,-0.0633967872293409,0.19478114848485475,0.9385709868136051
C2006,Res_hi,UM,m,34.34672885981309,846.0,111,54,-0.19028738698402706,0.17807902578082332,0.8267215107984797
C2006,Res_hi,UM,f,26.037931,893.0,88,48,-0.2535407547624378,0.18193051672034524,0.7760481166240059
C2006,Res_lo,TJL,m,42.06666666666667,726.5,120,60,0.10308169584139504,0.1676983299104289,1.108581971913604
C2006,Res_lo,TJL,f,29.661016949152543,848.0,96,48,0.02199316306885479,0.19410173231054662,1.0222367954839617
C2006,Res_lo,UM,m,34.34672885981309,846.0,111,51,0.03236443947780822,0.1735042000247978,1.0328938640214012
C2006,Res_lo,UM,f,26.037931,893.0,88,48,0.12216912210420805,0.1809549039214201,1.1299451843289354
C2006,Sim_hi,TJL,m,42.06666666666667,726.5,120,60,-0.10649002217831487,0.17028862494017263,0.8989840180187111
C2006,Sim_hi,TJL,f,29.661016949152543,848.0,96,48,0.07959169349423174,0.19295058750655378,1.0828448448049934
