cohort,group,site,sex,ctl_bw6,ctl_median,n_ctl,n_tx,log_hr,se,hr
C2011,MetRapa,UT,f,32.29347826086956,859.5,92,44,-0.9461998314176758,0.19887938491873583,0.3882135005999845
C2011,Prot,TJL,m,41.25,767.0,102,54,-0.2700629337803771,0.17416368354823053,0.7633314534911241
C2011,Prot,TJL,f,30.795180722891565,890.0,96,48,-0.2249674151008095,0.18266704546184664,0.7985422387537945
C2011,Prot,UM,m,34.847058823529416,829.0,105,51,-0.1354224318217263,0.17632827937157822,0.8733469042295227
C2011,Prot,UM,f,27.746000000000002,870.5,100,44,0.024155334439303386,0.1855956266044835,1.0244494378109168
C2011,Prot,UT,m,42.49797979797979,715.0,99,51,-0.370118251604795,0.1763739110356735,0.6906526550235011
C2011,Prot,UT,f,32.29347826086956,859.5,92,44,-0.12702959720862794,0.1869697394221584,0.8807076057246587
C2011,UDCA,TJL,m,41.25,767.0,102,54,-0.08720162647870515,0.17112553226254817,0.9164922878899434
C2011,UDCA,TJL,f,30.795180722891565,890.0,96,48,-0.06953494071990134,0.1796670772769714,0.9328275391493646
C2011,UDCA,UM,m,34.847058823529416,829.0,105,51,0.13749686202611516,0.18604249860119587,1.1473981054611326
C2011,UDCA,UM,f,27.746000000000002,870.5,100,44,0.14390088740403315,0.18620297161251256,1.1547696506350797
C2011,UDCA,UT,m,42.49797979797979,715.0,99,51,-0.24014393409660723,0.17342439958017014,0.786514646643908
C2011,UDCA,UT,f,32.29347826086956,859.5,92,44,0.05186696293355362,0.18622120275707632,1.053235613816077
C2013,ACA_hi,TJL,m,43.39795918367347,783.0,102,54,-0.6779678452665916,0.17672936008513673,0.5076475632697627
C2013,ACA_hi,TJL,f,32.40217391304348,889.5,96,48,-0.2729187322885321,0.17796444553716098,0.7611546424113639
C2013,ACA_hi,UM,m,38.45533980582525,796.0,108,54,-0.22878508643635187,0.18448102468698704,0.7954994787630699
C2013,ACA_hi,UM,f,29.965263157894736,868.5,96,52,-0.19274476111609073,0.17583788490902333,0.8246924408564932
C2013,ACA_hi,UT,m,41.57549019607843,807.0,102,60,-0.7598168982485025,0.17075844980815494,0.46775206539184094
C2013,ACA_hi,UT,f,32.192708333333336,897.0,96,52,-0.3980253067964953,0.1800933650376173,0.6716450302628378
C2013,ACA_lo,TJL,m,43.39795918367347,783.0,102,54,-0.5991159424253804,0.18704102990194849,0.5492970317051744
