cohort,group,sex,weight_age,within_arm,n,int_hr,int_lo,int_hi,int_p,coef,se
C2015,rapa_hi_continuous,m,6,True,280,1.1526031303330782,0.8866942850552623,1.4982548082745495,0.2885461668402147,0.1420229759052349,0.13381776184414204
C2015,rapa_hi_continuous,f,6,True,274,1.1314151149844638,0.8812057908195183,1.4526688042129394,0.3329250463096839,0.12346916337848272,0.12751931051279405
C2015,rapa_hi_cycle,m,6,True,280,1.5486691355578934,1.1615167219824387,2.064865744968495,0.0028816378832791523,0.4373959398832451,0.14677273263295182
C2015,rapa_hi_cycle,f,6,True,272,0.9766989589276986,0.7471208971737927,1.2768226132865723,0.8630795002679154,-0.02357680243723051,0.13671244115441483
C2015,rapa_hi_start_stop,m,6,True,273,0.8722361695208419,0.6722515902899252,1.131713106237917,0.3035926025507427,-0.1366950551363002,0.1328736472359101
C2015,rapa_hi_start_stop,f,6,True,273,1.0323393029974672,0.8012831029717429,1.3300223511026403,0.8055235675232206,0.031827394996711555,0.12927194297171327
C2016,17aE2_16m,m,6,True,441,0.6579680456475723,0.5319374518120109,0.8138587490287906,0.00011407590678687055,-0.4185989116816679,0.10848692033632498
C2016,17aE2_20m,m,6,True,438,0.9030782581076842,0.730873544502003,1.115856971977967,0.3449530184323756,-0.10194606474922976,0.10794522800099822
C2016,CC,m,6,True,434,0.8665855912183515,0.6936746398532243,1.082597724873089,0.20729199423253508,-0.14319439661082578,0.11355201024362509
C2016,CC,f,6,True,439,1.0899099486228998,0.8853348045012652,1.3417564632809762,0.41695434159444367,0.0860950768858737,0.10606545521763475
C2016,Cana,m,6,True,436,0.7910755305248632,0.6388967325316866,0.9795017929038428,0.03155820785991028,-0.23436182838390607,0.10900741998197251
C2016,Cana,f,6,True,439,0.9897552800832246,0.8032800756610239,1.2195192488080708,0.9229786993008766,-0.010297558245565604,0.10650924334422558
C2016,GGA,m,6,True,431,0.9075360857771673,0.7326361701695834,1.124189305036766,0.37440800106148886,-0.09702194969191365,0.10922859273032422
C2016,GGA,f,6,True,438,1.0417203021826948,0.8572065964023745,1.265950580098218,0.6811244940019654,0.04087348329007273,0.09946601312594754
C2016,MIF098,m,6,True,433,0.9960187467738018,0.8071848780889491,1.2290286536011314,0.9703302761819793,-0.003989199512621695,0.10725367713309154
C2016,MIF098,f,6,True,439,0.9807760920271396,0.7949249444046242,1.210078699206602,0.8563019233344119,-0.019411090089194425,0.10719405555745883
C2016,NR,m,6,True,436,0.9441932728998321,0.7633957216917044,1.1678097102950853,0.5964514005581063,-0.057424395551302236,0.10844808837981063
C2016,NR,f,6,True,436,1.0941491321768984,0.8941342651911579,1.3389066609448383,0.3823562811243788,0.08997701296971873,0.10300002697485237
C2017,BD,m,12,True,255,0.9085531449805061,0.7214302742933394,1.144211501329824,0.4150453152142334,-0.09590189535489033,0.11766422843910083
C2017,BD,f,12,True,274,1.0587221320701492,0.8131281527206727,1.3784943359601194,0.6717461239283189,0.05706264509829895,0.1346602282562106
C2017,Capt,m,12,True,258,0.8270607059013484,0.6258129329414018,1.0930253678699318,0.18197153032278945,-0.18987718169314916,0.14226108347584973
C2017,Capt,f,12,True,272,1.063836783270834,0.803771991658843,1.4080469501111956,0.6652553162625813,0.06188197997104782,0.1430238640451724
C2017,Leu,m,12,True,239,0.9345709217063219,0.7160882654322736,1.2197138954256626,0.6184392983042474,-0.06766776228958099,0.135861721790174
C2017,Leu,f,12,True,275,1.2247049130853978,0.9256926681789992,1.6203024780201443,0.15580724941304674,0.20269992770146367,0.14281533801077576
C2017,PB125,m,12,True,247,0.9060334983189585,0.6794267156938448,1.2082196374008831,0.5016111064780707,-0.09867899976068899,0.14685315855650505
C2017,PB125,f,12,True,266,1.069905098849468,0.8051110473661505,1.4217876208367337,0.641391988651702,0.06756995187633931,0.14507665352930554
C2017,RaAc_16,m,6,True,298,1.0025120611798444,0.7672857875388319,1.3098514909742103,0.9853283254515811,0.0025089112283032955,0.13643355490156833
